,sentence,head,annotation_type,intensity,polarity,Owen,Amittai,Tyler
610,"Malan criticizes the stance taken by multilateral institutions like the IMF, who are asking for reforms in Argentina before the country can receive financial help.",the stance taken,other_attitude,low,,,,
611,"According to Malan, ""long marches start with first steps.""",long marches start with first steps,arguing,medium,positive,,,
612,"Malan defends a different posture: ""to set aside the notion of cynicism, skepticism, that things will not work out,"" and believe, like the Europeans, that there is a future to be built by the Mercosur countries and Chile and Bolivia, the associate members.","to set aside the notion of cynicism, skepticism, that things will not work out",sentiment,medium,positive,,,
613,"The Finance Minister says he hopes, for Mercosur, something similar to what happened in the EU: ""an ability to look decades ahead and not let oneself get beaten down, like in some countries that dedicate themselves to lamenting, that see the difficulties as being insurmountable, and the problems as being unsolvable.""",dedicate themselves to lamenting,sentiment,high,negative,,,
614,"The presidents of the six countries endorsed certain goals in relation to the debt, GDP, nominal deficits as a proportion of the six countries' GDPs, and maximum inflation.",certain goals,intention,low,positive,,,
615,"Pedro Malan's attitude in relation to Argentina is very different from that of Jaime Caruana, governor of the Bank of Spain, the Spanish central bank.",attitude,other_attitude,low,,,,
616,"He noted, ""Brazil should adopt an open posture with relation to Argentina, which is experiencing a tragedy.""",which is experiencing a tragedy,sentiment,high,negative,,,
617,"Either one pays attention to the will of the people or what happened will happen."" Maia commented.",the will of,other_attitude,medium,,,,
618,Analysts: Lack of Alternative for Power,Lack of Alternative for Power,arguing,medium,negative,,,
619,Concern has spread to Brazilian legislators.,Concern has spread to,sentiment,medium,negative,,,
620,"""The degree of pauperization will be brutal.",The degree of pauperization will be brutal,sentiment,high,negative,,,
621,"""Cardoso told De la Sota that the images of the protests at the Plaza de Mayo show a country on the verge of a civil war,"" one of the channel's journalists commented.",protests,sentiment,medium-high,negative,,,
622,"Anyway, now in addition to the IMF, the US government, as the biggest investor in Argentina's economy, is ignoring its commitments in the current situation.",commitments,intention,medium,positive,,,
623,"However, there are a few ambiguous points, such as: 
	
	
 1 -- What amount of Argentina's economic crisis is due to its relations with the global economy and how much effect will it have on the European and US economies due to its present stagnation?",What amount of Argentina's economic crisis is due to its relations with the global economy and how much effect will it have on the European and US economies due to its present stagnation,other_attitude,low,,,,
624,The main problem that caused the recent shock is also a result of the restrictive economic policies that have been adopted on the advice of IMF experts.,advice,other_attitude,low,,,,
625,Public dissatisfaction and an increase in the people's anger in this country have finally resulted in the collapse of Fernando Delaroe's government following several days of protest.,protest,sentiment,high,negative,,,
626,The profound economic crisis in Argentina has coincided with a wave of social tension during recent days.,wave of social tension,sentiment,medium,negative,,,
627,"2 -- What reaction is likely from other countries and international institutions to the government's new policies, for instance halting the payment of debts?",reaction,other_attitude,low,,,,
628,Foreign debts are around $132 billion and poverty is dominating the country like a dangerous virus.,poverty is dominating the country like a dangerous virus,sentiment,high,negative,,,
629,Public dissatisfaction and an increase in the people's anger in this country have finally resulted in the collapse of Fernando Delaroe's government following several days of protest.,increase in the people's anger,sentiment,high,negative,,,
630,"3 -- Finally, what fate awaits Argentina's crisis-stricken economy?","Finally, what fate awaits Argentina's crisis-stricken economy",other_attitude,low,,,,
631,"Riots and widespread strikes, attacks on government buildings, and the plundering of stores have left scores of dead and casualties.",Riots and widespread strikes,sentiment,high,negative,,,
632,"2 -- What reaction is likely from other countries and international institutions to the government's new policies, for instance halting the payment of debts?","What reaction is likely from other countries and international institutions to the government's new policies, for instance halting the payment of debts",other_attitude,low,,,,
